145,"แสดงตน, กระทำการ",เจ้าพนักงาน,,
146,สวม,"เครื่องแบบ, เครื่องประดับ, เครื่องหมายของเจ้าพนักงาน",,
,,,,
147,"เบียดบัง, ทุจริต",เจ้าพนักงาน,"ทรัพย์, ซื้อ, ทำ, จัดการ",
148,"ข่มขืนใจ, จูงใจ",เจ้าพนักงาน,ให้ทรัพย์สิน,
149,"เรียก, รับ, ยอมรับ",เจ้าพนักงาน,ทรัพย์สิน,
150,เห็นแก่,เจ้าพนักงาน,ทรัพย์สิน,
151,ทุจริต,เจ้าพนักงาน,"เสียหายต่อรัฐ, ซื้อ, ทำ, จัดการ",
152,ส่วนได้เสีย,เจ้าพนักงาน,"จัดการ, ดูแลกิจการ, ผลประโยชน์",
153,จ่ายทรัพย์,เจ้าพนักงาน,จ่ายทรัพย์เกินว่าที่ควรจ่าย,
154,ทุจริต,เจ้าพนักงาน,"เรียกเก็บ, ตรวจสอบ, ภาษี",
155,ทุจริต,เจ้าพนักงาน,กำหนดราคา,
156,"ทุจริต, แนะนำ",เจ้าพนักงาน,"ตรวจสอบ, บัญชี",
157,"ละเว้น, ปฏิบัติ",เจ้าพนักงาน,"หน้าที่, เสียหาย",
158,"ทำลาย, ซ่อนเร้น, เอาไปเสีย",เจ้าพนักงาน,"ทรัพย์, เอกสาร",
159,"ทำลาย, ทำให้ไร้ประโยชน์",เจ้าพนักงาน,"ดูแล, รักษา",
160,ยินยอม,เจ้าพนักงาน,"ดวงตรา, รอยตรา",
161,ปลอม,เจ้าพนักงาน,เอกสาร,
162(1),รับรอง,เจ้าพนักงาน,"เอกสาร, เท็จ",
162(2),รับรอง,เจ้าพนักงาน,ไม่แจ้ง,
162(3),"เปลี่ยนแปลง, ไม่จด",เจ้าพนักงาน,ข้อความ,
162(4),รับรอง,เจ้าพนักงาน,ความจริงอันเป็นเท็จ,
163,,เจ้าพนักงาน,"ไปรษณีย์, โทรเลข, โทรศัพท์",
163(1),เปิด,เจ้าพนักงาน,,163
163(2),"ทำลาย, สูญหาย",เจ้าพนักงาน,,163
163(3),"กัก, ส่งให้",เจ้าพนักงาน,"บุคคลอื่น, ผิดทาง",163
163(4),เปิดเผย,,,163
164,"รู้, อาจรู้",เจ้าพนักงาน,ความลับในราชการ,
165,"ขัดขวาง, ป้องกัน",เจ้าพนักงาน,กฎหมาย,
